Timestamp,Username,"Basic Information:
1.  Name of Student :",2. Gender of Student," 3.  Age Group of Student
",4. Name of Institute where you are Studying.,5. Please specify your residential area.,"Academic Performance: (Educational Information)
6. 10th percentage",7. 12th percentage Or Diploma Percent,8. Aggregate CGPA till current semester,9. Do you have any current backlog subjects?,10. Have You attended nursery school?,11. Specify the reason of choosing this College ,12. Which course of Engineering you are Pursuing Currently (Branch of Engineering),13. Specify the reason of choosing this course.,"Personal Background:
14. What is the status of   student’s  Mother Education(Mother is Educated or not if yes plz  specify in answer)",15. What is the Job Status of   student’s   Mother?,16. What is the status of   student’s  Father Education( Father Educated or not if yes plz  specify in answer),17. What is the Job Status of   student’s   Father ?,18. Who is student's Current Guardian?,19. What is Size of your family,20. What is your parental relationship Status,21. Rate the quality of family relationships (as 1 marks  for very  Happy and Healthy and 5 is the mark if you    think the relationship of family is  is poor,22. What is your family income?,"Study Habits and Resources:
23. Do you have internet access at home? (Yes/No)",24. What is your mode of transport?,25. How much Travel time is required for your daily commute from home(your staying place) and college.,26. Specify your approximate daily study time?,"Extracurricular Activities:
27. Does your institute provide any extracurricular courses?",28. Have you participated in any workshops or seminars?,29. Do you participate in any community service or volunteering activities? ,"30. Rate your communication skills (1 for excellent, 5 for poor)","31. Rate your leadership qualities (1 for excellent, 5 for poor)","32. Rate your teamwork skills (1 for excellent, 5 for poor)","Internships and Projects:
33. Have you completed any internships till today?",34. Whether these internship were paid or free?,35. Have you completed any Projects Successfully  till today?,"Peer Influence:
36. Rate the quality of your peer group (1 for very positive, 5 for very negative)","Time Management:
37. How well do you manage your time? (1 for excellent, 5 for poor)","Mental Health:
38. What is the status of your current health?(1 for very good 5 for Bad)","39. How often do you feel stressed? (1 for never, 5 for always)",40. Do you have any coping mechanisms for stress? ,"Additional Interests:
41. What are your hobbies and interests?","42. How often do you go out with friends? (1 for never, 5 for very frequently)?",43. Do You have any  romantic relationship ?,"Family Support and Motivation:
44. Does your family motivate you to attend any extra or syllabus-related classes? ",45. Are you attending any other paid classes? ,"Future Aspirations:
46. Are you placed? (Mention Name of Employer if Yes)",47. Are you interested in higher education?,"Substance Use:
48. Do you consume alcohol?",49. Do you Smoke?,50. Do You have any other Addictions?
2024/12/24 12:42:20 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms coe,RURAL,92,64.5,8.16,NO,YES,Reputation of College,Electronic engineering vlsi,Your preference,Highschool,Housewife,School,Farmer,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,1 hour - 4 hour,30 min to 1 hour,YES,Yes,Yes,3,3,3,Yes,FREE,No,3,3,4,5,No,"Sketching,art, content creator ,editing,designier",3,No,Yes,No,No,Yes,No,No,No
2024/12/24 12:42:29 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe pune,RURAL,77.62,77.78,6.02,YES,NO,Reputation of College,Mechanical engineering ,Your preference,School,Housewife,School,Farmer,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,No,Any Other,15 to 30 min,30 min to 1 hour,No,No,No,2,4,4,Yes,FREE,No,1,1,1,1,No,Watching YouTube ,5,No,Sometimes,No,No,Yes,No,No,No
2024/12/24 12:48:26 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,"AISSMS College Of Engineering, Pune",URBAN,98.60%,91%,9.68,NO,YES,Reputation of College,Electronics VLSI Design and Technology ,Your preference,PG,Housewife,PG,Any Other,Mother,Less or equal to 4,Living together,5,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 to 30 min,1 hour - 4 hour,No,Yes,No,2,2,2,No,,No,3,3,1,4,Yes,"Reading, writing ",4,No,Yes,No,No,Yes,No,No,No
2024/12/24 12:52:55 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,100,64,9.1,NO,YES,Course preference,Electronics (VLSI Design and Technology),Your preference,PG,Teacher,PG,Farmer,Any other,Less or equal to 4,Living Apart,2,Less than 2.5 Lakh,Yes,Public Transport,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,3,2,1,No,,No,3,1,2,3,Yes,Listening to music ,3,Yes,Yes,No,No,Yes,No,No,No
2024/12/24 12:53:01 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of Engineering ,URBAN,85,80,7,YES,YES,Close to home,Mechanical ,Family pressure,UG,Housewife,PG,Any Other,Mother,Less or equal to 4,Living together,2,More than  15 Lakh,Yes,Private car/Bike,15 to 30 min,1 hour - 4 hour,YES,Yes,No,2,2,2,Yes,FREE,Yes,4,3,4,4,Yes,"Working out, Reading ",2,Yes,Yes,No,No,Yes,No,No,No
2024/12/24 12:58:54 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of engineering ,RURAL,70,67,7,NO,NO,Course preference,Mechanical Sandwich Engineering ,Your preference,School,Housewife,High School,Farmer,Father,Less or equal to 4,Living Apart,1,Less than 2.5 Lakh,Yes,Public Transport,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,3,2,1,No,,Yes,3,2,1,1,No,Playing outdoor games ,3,No,Yes,No,-,Yes,No,No,No
2024/12/24 12:59:57 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS,URBAN,81,67,No,YES,YES,Course preference,Mechanical sandwich ,Your preference,Highschool,Housewife,High School,Industrial Job,Father,Greater than 4,Living together,5,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 min,15 to 30 min,YES,Yes,Yes,4,4,4,No,No completed any ,Yes,4,3,4,5,No,Music,3,No,Yes,No,No,Yes,No,No,No
2024/12/24 1:01:57 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,90.2,63.67,7.8,NO,NO,Course preference,Electronics and telecommunication ,Any other,School,Any other,High School,Industrial Job,Mother,Less or equal to 4,Living together,3,Less than 2.5 Lakh,No,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,Yes,3,3,2,No,PAID,Yes,2,3,2,3,Yes,"Cooking,reading",5,No,Sometimes,No,No,Yes,No,No,No
2024/12/24 1:11:19 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,"AISSMS College Of Engineering, Pune",URBAN,96.67,68,8.7,NO,YES,Close to home,Mechanical,Your preference,PG,Housewife,PG,Industrial Job,Father,Less or equal to 4,Living together,1,8 Lakh to 15 Lakh,Yes,Private car/Bike,15 min,15 to 30 min,YES,Yes,No,3,3,1,No,,Yes,1,3,3,4,Yes,"Watching Series, Reading Books",3,No,Yes,Yes,no,Yes,No,No,No
2024/12/24 1:14:03 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE,URBAN,81,77.33,74.33,NO,YES,Course preference,Mechanical ,Your preference,Highschool,Teacher,High School,Industrial Job,Mother,Greater than 4,Living together,2,Less than 2.5 Lakh,No,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,Yes,3,2,2,Yes,FREE,Yes,2,2,3,2,No,Designing,2,No,Yes,No,Automotive/Aerospace industry ,Yes,No,No,No
2024/12/24 1:14:33 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS COE Pune,URBAN,96.60%,Diploma - 89.9%,-,NO,YES,Close to home,Mechanical Engineering,Your preference,PG,Teacher,PG,Any Other,Father,Greater than 4,Living together,1,More than  15 Lakh,Yes,Public Transport,15 to 30 min,30 min to 1 hour,YES,No,No,4,3,4,Yes,FREE,Yes,3,4,2,2,No,Music ,1,No,Sometimes,No,Automobile Companies,Yes,No,No,No
2024/12/24 1:16:26 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissmscoe,URBAN,89,70,6.7,NO,YES,Course preference,Electronics Vlsi,Your preference,PG,Housewife,PG,Industrial Job,Father,Less or equal to 4,Living together,1,More than  15 Lakh,Yes,Private car/Bike,30 min to 1 hour,1 hour - 4 hour,YES,Yes,Yes,1,1,1,No,,No,3,2,2,3,Yes,"Car racing , hair care and skin care",2,No,Sometimes,No,No,Yes,No,No,No
2024/12/24 1:18:15 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Aissms college of engineering ,RURAL,93.6,87.67,7.45,NO,NO,Reputation of College,Electronics and telecommunication ,Any other,Highschool,Housewife,PG,Teacher,Any other,Greater than 4,Living together,1,8 Lakh to 15 Lakh,Yes,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,No,4,3,3,No,No internship ,Yes,3,2,2,3,No,Reading books and painting ,3,No,Yes,No,No,Yes,No,No,No
2024/12/24 1:26:48 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe ,URBAN,80,62,7.23,NO,YES,Reputation of College,Mechanical engineering ,Any other,PG,Teacher,PG,Any Other,Father,Less or equal to 4,Living together,1,More than  15 Lakh,Yes,Private car/Bike,1 hour - 4 hour,1 hour - 4 hour,YES,Yes,Yes,2,1,1,No,,Yes,1,1,1,1,No,Sports ,2,No,Yes,No,No,Yes,No,No,No
2024/12/24 1:27:05 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COLLEGE OF ENGINEERING ,RURAL,89.6,86,6.57,NO,YES,Course preference,Electronics and telecommunication ,Your preference,PG,Housewife,UG,Any Other,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 min,1 hour - 4 hour,YES,Yes,Yes,3,4,1,Yes,FREE,Yes,2,2,2,2,Yes,"Sketching , reading ",5,No,No,No,No,Yes,No,No,No
2024/12/24 1:28:23 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COLLEGE OF ENGINEERING ,URBAN,93.6,60.83,7.27,NO,YES,Course preference,VLSI DESIGN AND TECHNOLOGY (ENTC),Your preference,Highschool,Business,School,Business,Any other,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,more than 4 hours,YES,Yes,Yes,2,1,1,Yes,FREE,Yes,1,1,1,2,Yes,"Playing karate,boxing, aero modelling etc",4,Yes,Yes,Yes,No,Yes,No,No,No
2024/12/24 1:31:21 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms College of Engineering ,URBAN,88,70,8.34,NO,YES,Close to home,Mechanical Engineering ,Your preference,UG,Housewife,High School,Business,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,15 to 30 min,30 min to 1 hour,YES,No,No,2,1,1,No,FREE,Yes,2,1,1,2,No,"Watching Sports ,Drawing ,Cricket",4,No,Yes,No,No,No,No,No,No
2024/12/24 1:37:55 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"AISSMS, COE",RURAL,68%,NA,NA,NO,YES,Course preference,Mechanical Engineering(DSY) ,Your preference,Highschool,Housewife,High School,Industrial Job,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,1 hour - 4 hour,No,No,No,1,1,1,Yes,PAID,Yes,2,1,1,2,Yes,"Swimming, cricket, seating with friends relieves my stress",1,No,Sometimes,Yes,No,Yes,No,No,No
2024/12/24 1:47:08 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,All India Shri Shivaji Memorial Society's College of Engineering Pune. ,URBAN,85,-,7.63,NO,YES,Course preference,Mechanical Engineering ,Any other,PG,Housewife,PG,Business,Father,Greater than 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,YES,Yes,Yes,3,2,3,Yes,FREE,Yes,2,3,1,2,No,Playing Cricket ,2,No,Yes,No,-,Yes,No,No,No
2024/12/24 1:47:24 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COE ,RURAL,88,NA,DSY ,NO,YES,Reputation of College,E&TC ,Your preference,School,Housewife,School,Any Other,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,1,1,1,No,,Yes,1,2,1,2,Yes,"Listening music , travelling ",2,No,Yes,No,No,Yes,No,No,No
2024/12/24 1:56:31 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,All India Shree Shivaji Memorial ,URBAN,82,-,8.59,NO,YES,Reputation of College,Mechanical,Any other,PG,Housewife,PG,Industrial Job,Father,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,30 min to 1 hour,30 min to 1 hour,No,Yes,No,2,2,2,Yes,FREE,Yes,2,2,2,2,No,Playing and Watching sport,5,No,Yes,No,No,Yes,No,No,No
2024/12/24 2:01:39 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"Aissms College Of Engineering , Pune ",URBAN,76.8,67.51,6.5,YES,YES,Course preference,Mechanical Sandwich Engineering,Your preference,PG,Housewife,PG,Any Other,Father,Greater than 4,Living together,5,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,YES,Yes,No,3,4,4,Yes,FREE,No,2,2,3,3,No,"Playing Guitar , Listening to Songs ",4,No,Sometimes,No,no,Yes,No,No,No
2024/12/24 2:03:03 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS - COE,RURAL,88.8,-,77.33,NO,YES,Course preference,Mechanical engineering AISSMS-COE,Any other,Highschool,Housewife,No Education,Any Other,Any other,Less or equal to 4,Living Apart,1,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,1 hour - 4 hour,YES,No,No,2,3,2,Yes,FREE,No,2,2,1,3,No,"Playing kabadi, dancing ",5,No,Sometimes,No,No,Yes,No,No,No
2024/12/24 2:04:17 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS college of engineering ,URBAN,92.8,100,7,YES,YES,Course preference,Electronics and telecommunication ,Any other,PG,Housewife,UG,Any Other,Father,Less or equal to 4,Living together,2,Less than 2.5 Lakh,Yes,Bicycle,15 to 30 min,more than 4 hours,YES,Yes,No,3,3,3,No,Not done any internship,Yes,2,2,2,3,No,"Music , reading , sketching ",3,No,Yes,No,No,Yes,No,No,No
2024/12/24 2:06:09 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"Aissms coe, pune. ",URBAN,89.9,81.2,8.16,NO,YES,Close to home,EnTC,Your preference,UG,Housewife,PG,Any Other,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,1 hour - 4 hour,1 hour - 4 hour,No,Yes,Yes,1,1,1,Yes,FREE,Yes,3,3,1,3,Yes,Gym,3,Yes,Sometimes,No,NA,Yes,No,No,No
2024/12/24 2:07:01 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms,RURAL,88,Na,Na,NO,NO,Course preference,VLSI,Your preference,School,Housewife,School,Farmer,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,No,Any Other,30 min to 1 hour,1 hour - 4 hour,YES,No,Yes,1,1,1,No,FREE,Yes,3,3,3,3,No,No,4,No,Sometimes,No,No,Yes,No,No,No
2024/12/24 2:09:47 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS College of Engineering Pune ,URBAN,89,77,7,NO,YES,Reputation of College,Electronics and Telecommunication ,Your preference,Not Educated,Housewife,School,Business,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 min,30 min to 1 hour,YES,Yes,Yes,3,3,3,No,,Yes,2,3,2,2,No,Reading books ,2,No,Yes,No,-,Yes,No,No,No
2024/12/24 2:19:01 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,AISSMS College of Engineering,URBAN,87.12,79.56,6.9,NO,YES,Course preference,Electronics and telecommunication,Your preference,UG,Teacher,PG,Any Other,Any other,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,15 min,30 min to 1 hour,YES,Yes,Yes,1,1,1,No,FREE,Yes,1,2,1,2,Yes,"Reading,Swimming,Trekking",3,No,Yes,No,No,Yes,No,No,No
2024/12/24 2:26:10 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Aissms coe ,URBAN,58,Nope,Nil,YES,YES,Reputation of College,Mecchnical engineering ,Your preference,UG,Business,High School,Business,Mother,Less or equal to 4,Living together,2,2.5 Lakh to 8 Lakh,Yes,Public Transport,1 hour - 4 hour,1 hour - 4 hour,YES,No,No,3,2,1,Yes,PAID,No,2,2,1,3,No,"Listening music, playing football and play video games",2,No,Sometimes,Yes,No,Yes,No,No,No
2024/12/24 2:30:23 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,"AISSMS College of Engineering, Pune ",URBAN,90.4,91.67,80.83,NO,NO,Reputation of College,Electronics and telecommunication engineering ,Your preference,School,Housewife,High School,Any Other,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,30 min to 1 hour,1 hour - 4 hour,YES,No,Yes,3,5,1,Yes,FREE,Yes,3,4,1,3,No,Astronomy ,2,No,Sometimes,No,No,No,Yes,No,No
2024/12/24 2:33:14 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,GS MOZE BALEWADI,RURAL,76.4,N/A,6.5,YES,YES,Close to home,Civil,Your preference,School,Housewife,High School,Farmer,Father,Less or equal to 4,Living together,3,2.5 Lakh to 8 Lakh,No,Public Transport,15 to 30 min,30 min to 1 hour,No,Yes,Yes,4,4,3,Yes,FREE,Yes,3,5,5,1,No,Gym and civil designing,3,No,No,No,Stantec,Yes,No,No,No
2024/12/24 2:34:27 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,All india shri shivaji memorial education Society (AISSMS),RURAL,87.2,92.17,8.6,NO,YES,Course preference,Electronics (vlsi and design),Your preference,Not Educated,Housewife,No Education,Farmer,Father,Less or equal to 4,Living together,5,Less than 2.5 Lakh,No,Public Transport,1 hour - 4 hour,more than 4 hours,No,No,No,5,5,5,Yes,FREE,Yes,5,5,5,1,No,Sports,3,No,Yes,No,TATA,Yes,No,No,No
2024/12/24 2:35:49 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,GENBA SOPANRAO MOJE COLLEGE OF ENGINEERING ,URBAN,60,70,67,NO,YES,Reputation of College,Civil,Your preference,Not Educated,Housewife,School,Any Other,Father,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,YES,Yes,Yes,3,3,3,Yes,PAID,Yes,1,1,1,1,No,Singing ,2,No,Sometimes,Yes,Kasturi housing pvt ltd,Yes,No,No,No
2024/12/24 2:36:16 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Moze collage of engineering Balewadi pune,RURAL,84%,No,60,NO,YES,Course preference,Civil engineering,Any other,Highschool,Any other,High School,Industrial Job,Mother,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,No,No,No,1,1,1,Yes,FREE,Yes,1,1,1,2,No,Good listener and motivated,3,Yes,Yes,No,No,Yes,No,No,No
2024/12/24 2:36:55 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Ganba sopanrau more college of engineering pune ,URBAN,72.83,Diploma percentage 77.63,No,NO,YES,Close to home,Civil ,Your preference,School,Housewife,High School,Industrial Job,Father,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,No,Private car/Bike,15 to 30 min,30 min to 1 hour,No,No,No,3,3,1,Yes,FREE,Yes,2,2,2,3,No,No,3,No,Sometimes,Yes,No,Yes,No,No,No
2024/12/24 2:37:25 PM GMT+5:30,xxx@gmail.com,xxx,Male,25+,GSM College ,RURAL,68,NA,Na,NO,NO,Course preference,Civil engineering ,Your preference,School,Housewife,School,Any Other,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,1 hour - 4 hour,30 min to 1 hour,No,Yes,No,5,5,5,No,,No,5,4,3,3,No,Cricket ,3,Yes,Sometimes,Yes,No,No,No,No,No
2024/12/24 2:38:09 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Genba sopanrao moze college of engineering balewadi,URBAN,77.2,Not appeared,7.1,YES,YES,Close to home,Civil engineering ,Your preference,Highschool,Housewife,High School,Farmer,Any other,Less or equal to 4,Living together,5,Less than 2.5 Lakh,Yes,Public Transport,15 to 30 min,1 hour - 4 hour,YES,No,No,4,4,4,Yes,FREE,Yes,4,3,4,4,No,Acting ,3,Yes,Sometimes,No,No,Yes,No,No,No
2024/12/24 2:39:03 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Genba sopanrao moze college of engineering balewadi ,URBAN,93.4,69.7,8.14,NO,YES,Course preference,Computer engineering ,Your preference,Highschool,Housewife,High School,Any Other,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,30 min to 1 hour,1 hour - 4 hour,YES,Yes,Yes,2,2,2,Yes,FREE,No,1,1,1,3,No,Drawing ,4,No,Yes,Yes,No,Yes,No,No,No
2024/12/24 2:39:14 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,SPPU,URBAN,87.40%,72.80%,9.02,NO,NO,Course preference,Artificial Intelligence and Data Science ,Your preference,Highschool,Any other,UG,Business,Any other,Less or equal to 4,Living together,5,2.5 Lakh to 8 Lakh,No,Public Transport,15 min,30 min to 1 hour,No,Yes,Yes,1,2,1,Yes,FREE,Yes,1,2,1,1,No,Cricket ,5,No,Sometimes,No,No,Yes,No,No,No
2024/12/24 2:39:23 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Genba sopanrao moze college of engineering ,URBAN,79.6,61,Not available ,YES,YES,Course preference,Artificial intelligence and data science ,Family pressure,School,Any other,High School,Industrial Job,Father,Less or equal to 4,Living together,4,Less than 2.5 Lakh,Yes,Private car/Bike,30 min to 1 hour,more than 4 hours,No,Yes,No,2,5,5,No,FREE,Yes,4,3,2,4,No,Traveling ,2,No,Yes,Yes,No,Yes,No,No,No
2024/12/24 2:39:24 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,GSMCOE,URBAN,85%,60%,6.5,YES,YES,Course preference,AI&DS,Your preference,UG,Housewife,PG,Business,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Private car/Bike,30 min to 1 hour,30 min to 1 hour,YES,Yes,Yes,2,2,2,Yes,FREE,Yes,2,2,1,3,Yes,Playing cricket ,5,No,Yes,No,No,No,No,No,No
2024/12/24 2:39:38 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Savitri bai pule institute ,RURAL,80.4,68,8.03,YES,YES,Course preference,Engg.Computer science ,Your preference,Highschool,Housewife,High School,Any Other,Mother,Less or equal to 4,Living together,4,Less than 2.5 Lakh,No,Public Transport,15 to 30 min,30 min to 1 hour,No,No,No,3,3,3,No,None,No,3,2,3,5,No,Art ,5,No,No,No,No ,Yes,No,No,No
2024/12/24 2:39:57 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Genba Sopanrao Moze ,URBAN,87%,No,-,NO,YES,Course preference,Civil Engineering ,Your preference,Highschool,Housewife,UG,Any Other,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,1 hour - 4 hour,1 hour - 4 hour,No,No,No,3,3,1,Yes,FREE,Yes,3,2,5,5,Yes,"Sketching, hangout with loved ones , etc ",4,Yes,Sometimes,Yes,No,Yes,Yes,Yes,No
2024/12/24 2:40:05 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Genba sopanrao moze college of engineering pune ,URBAN,75,81,8.25,NO,YES,Reputation of College,Computer engineering ,Your preference,UG,Housewife,UG,Teacher,Father,Less or equal to 4,Living together,1,8 Lakh to 15 Lakh,Yes,Private car/Bike,15 to 30 min,1 hour - 4 hour,YES,Yes,Yes,1,1,1,Yes,FREE,Yes,1,1,1,1,No,"Coding, exploring, watching movies",3,No,Yes,No,No,No,No,No,No
2024/12/24 2:40:09 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Gsmcoe Baner ,URBAN,88%,78%,8.05,NO,YES,Close to home,Computer Engineering ,Your preference,Not Educated,Housewife,No Education,Business,Mother,Less or equal to 4,Living together,2,Less than 2.5 Lakh,No,Public Transport,30 min to 1 hour,1 hour - 4 hour,No,Yes,Yes,1,1,1,Yes,PAID,Yes,1,1,1,1,No,Networking and sketching ,4,No,Yes,No,No ,No,No,No,No
2024/12/24 2:40:21 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Genba sopanrao moze college of engineering balewadi ,RURAL,86.4,83,7.89,NO,NO,Reputation of College,Computer ,Your preference,School,Housewife,High School,Any Other,Father,Less or equal to 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 min,15 to 30 min,YES,Yes,Yes,3,3,4,Yes,FREE,Yes,4,3,1,1,Yes,"Playing online games, exploring new business ideas, exploring new things, travelling, farming",5,Yes,Yes,Yes,No,Yes,No,No,No
2024/12/24 2:40:33 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Genba sopanrao Moze college of engineering pune,URBAN,85.4,No,8.5,NO,YES,Close to home,Computer ,Any other,School,Housewife,PG,Teacher,Father,Less or equal to 4,Living together,1,2.5 Lakh to 8 Lakh,Yes,Public Transport,1 hour - 4 hour,more than 4 hours,YES,Yes,No,1,1,1,Yes,PAID,Yes,2,1,1,1,No,Reading books ,2,No,Yes,No,No,Yes,No,No,No
2024/12/24 2:40:44 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,AISSMS COLLEGE OF ENGINEERING PUNE ,URBAN,94.8,87.6,8.36,NO,NO,Course preference,Mechanical Engineering ,Your preference,School,Housewife,High School,Farmer,Any other,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,15 min,30 min to 1 hour,YES,Yes,Yes,2,1,1,Yes,FREE,Yes,2,1,1,2,Yes,"Drawing ,sketching ,reading",4,No,Yes,No,No,Yes,No,No,No
2024/12/24 2:40:48 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,Genba Moze College of engineering ,URBAN,92,0,8.64,NO,NO,Close to home,AIML,Your preference,School,Housewife,UG,Business,Father,Less or equal to 4,Living together,5,8 Lakh to 15 Lakh,Yes,Private car/Bike,15 to 30 min,30 min to 1 hour,No,No,No,4,4,4,Yes,PAID,Yes,3,3,4,1,Yes,Reading ,4,No,Sometimes,No,No,No,No,No,No
2024/12/24 2:41:24 PM GMT+5:30,xxx@gmail.com,xxx,Male,18-25,GS MOZE,URBAN,87.5,-,Not sure,NO,YES,Close to home,Computer Engineering ,Your preference,Highschool,Housewife,UG,Teacher,Father,Less or equal to 4,Living together,1,More than  15 Lakh,Yes,Private car/Bike,15 to 30 min,15 to 30 min,No,No,No,1,1,1,Yes,PAID,Yes,3,1,2,3,No,"Cricket, Flute, Gaming",4,Yes,Sometimes,No,Atlassian,No,No,No,No
2024/12/24 2:41:44 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,Genba Sopanrao Moze College of engineering balewadi ,RURAL,92.6,72,7.68,NO,NO,Course preference,Computer ,Your preference,Highschool,Housewife,High School,Farmer,Father,Greater than 4,Living together,3,2.5 Lakh to 8 Lakh,No,Any Other,15 min,more than 4 hours,YES,Yes,Yes,1,1,1,No,Not attended any internship ,Yes,2,2,1,3,No,I love cooking and eating. Also I'm interested in singing bollywood songs as well as classical ,3,No,Yes,No,No,Yes,No,No,No
2024/12/24 2:41:45 PM GMT+5:30,xxx@gmail.com,xxx,Female,18-25,"Genba sopanrao moze college of engineering, balewadi ",URBAN,69,79,7.5,YES,YES,Course preference,Computer Engineering ,Your preference,School,Housewife,High School,Industrial Job,Father,Greater than 4,Living together,1,Less than 2.5 Lakh,Yes,Public Transport,1 hour - 4 hour,1 hour - 4 hour,YES,Yes,No,2,2,1,Yes,FREE,No,2,1,1,2,No,Hobby is Dance and interest to know the new things or technologies ,4,No,Yes,No,No,Yes,No,No,No
